id,department,priority
VAC_0001,Marketing,Low
VAC_0002,Finance,High
VAC_0003,R&D,High
VAC_0004,Logistics,Medium
VAC_0005,Marketing,Medium
VAC_0006,IT,Medium
VAC_0007,IT,Low
VAC_0008,IT,Low
VAC_0009,Risk & Compliance,Medium
VAC_0010,Marketing,Low
VAC_0011,Marketing,Medium
VAC_0012,Engineering,Medium
VAC_0013,People,Low
VAC_0014,People,Medium
VAC_0015,People,High
VAC_0016,People,High
VAC_0017,R&D,Medium
VAC_0018,Marketing,Medium
VAC_0019,R&D,Low
VAC_0020,R&D,Low
VAC_0021,Finance,High
VAC_0022,Risk & Compliance,High
VAC_0023,Engineering,Low
VAC_0024,People,Low
VAC_0025,IT,Medium
VAC_0026,Sales,Low
VAC_0027,R&D,Medium
VAC_0028,People,High
VAC_0029,People,Medium
VAC_0030,R&D,Low
VAC_0031,Operations,Medium
VAC_0032,IT,Low
VAC_0033,Operations,Low
VAC_0034,Sales,High
VAC_0035,People,Medium
VAC_0036,Operations,Medium
VAC_0037,Engineering,Low
VAC_0038,Risk & Compliance,High
VAC_0039,Risk & Compliance,Low
VAC_0040,Finance,High
VAC_0041,R&D,Medium
VAC_0042,R&D,Low
VAC_0043,Risk & Compliance,Medium
VAC_0044,Sales,Low
VAC_0045,IT,Medium
VAC_0046,Finance,Low
VAC_0047,Operations,Low
VAC_0048,People,Medium
VAC_0049,Marketing,Medium
VAC_0050,Sales,High
VAC_0051,Finance,Low
VAC_0052,Operations,Medium
VAC_0053,Sales,High
VAC_0054,Engineering,Medium
VAC_0055,Engineering,Low
VAC_0056,Sales,High
VAC_0057,Engineering,High
VAC_0058,Marketing,High
VAC_0059,Finance,High
VAC_0060,Finance,Medium
VAC_0061,Finance,Low
VAC_0062,Operations,High
VAC_0063,Marketing,High
VAC_0064,Finance,Low
VAC_0065,Logistics,Medium
VAC_0066,People,Low
VAC_0067,Marketing,Low
VAC_0068,Marketing,Low
VAC_0069,People,High
VAC_0070,IT,Medium
VAC_0071,Engineering,Low
VAC_0072,Operations,High
VAC_0073,Operations,Medium
VAC_0074,Sales,High
VAC_0075,R&D,Low
VAC_0076,Sales,Low
VAC_0077,Sales,Medium
VAC_0078,Sales,Medium
VAC_0079,Finance,Medium
VAC_0080,Logistics,Low
VAC_0081,R&D,High
VAC_0082,R&D,High
VAC_0083,People,Low
VAC_0084,People,High
VAC_0085,People,Medium
VAC_0086,Finance,Low
VAC_0087,Finance,Low
VAC_0088,R&D,High
VAC_0089,Finance,Medium
VAC_0090,R&D,Medium
VAC_0091,People,Low
VAC_0092,R&D,High
VAC_0093,R&D,High
VAC_0094,Operations,Medium
VAC_0095,Marketing,High
VAC_0096,Sales,High
VAC_0097,Risk & Compliance,Medium
VAC_0098,Finance,Low
VAC_0099,R&D,High
VAC_0100,R&D,High
VAC_0101,Operations,Low
VAC_0102,Logistics,High
VAC_0103,Sales,Medium
VAC_0104,Engineering,High
VAC_0105,Finance,High
VAC_0106,Finance,Low
VAC_0107,Logistics,High
VAC_0108,Marketing,Low
VAC_0109,IT,Medium
VAC_0110,Marketing,Medium
VAC_0111,Marketing,Low
VAC_0112,IT,Low
VAC_0113,Engineering,High
VAC_0114,Operations,High
VAC_0115,Operations,Low
VAC_0116,IT,High
VAC_0117,Operations,Medium
VAC_0118,Sales,High
VAC_0119,Logistics,Medium
VAC_0120,Marketing,Medium
VAC_0121,IT,High
VAC_0122,People,High
VAC_0123,Sales,High
VAC_0124,R&D,Low
VAC_0125,People,Low
VAC_0126,Marketing,Low
VAC_0127,People,High
VAC_0128,Marketing,Medium
VAC_0129,Operations,High
VAC_0130,Logistics,Medium
VAC_0131,Risk & Compliance,High
VAC_0132,IT,Low
VAC_0133,IT,Low
VAC_0134,Marketing,Medium
VAC_0135,Marketing,Medium
