Nome_Tabela,Nome_Coluna,Dominio_Negocio,Classificacao_Confidencialidade,Proprietario_Dado,Regras_Qualidade_Dados,Freq_Atualizacao,Retencao_Dados_Anos,Regra_Negocio_Associada,Termo_Glossario_DMBOK
Cliente,ID_Cliente,Cliente,Restrito,Marketing,"Não nulo; formato numérico",Diária,10,"Identificador único atribuído ao cliente. Representa o cliente de forma singular em todos os sistemas.","Identificador do Cliente"
Cliente,Nome_Cliente,Cliente,Restrito,Marketing,"Não nulo; validação de caracteres alfabéticos",Diária,10,"Nome completo do cliente para comunicação e identificação.","Nome Completo do Cliente"
Cliente,Email_Cliente,Cliente,Restrito,Marketing,"Não nulo; formato de e-mail válido; único",Diária,10,"Endereço de e-mail primário para contato e comunicações.","Email do Cliente"
Cliente,Data_Cadastro,Cliente,Interno,Marketing,"Não nulo; data válida no passado",Diária,10,"Data em que o cliente foi oficialmente registrado na base de dados da empresa.","Data de Registro do Cliente"
Endereco_Cliente,ID_Endereco,Cliente,Interno,Marketing,"Não nulo; formato numérico",Diária,7,"Identificador único do registro de endereço do cliente.","Identificador do Endereço"
Endereco_Cliente,ID_Cliente,Cliente,Restrito,Marketing,"Não nulo; deve referenciar um ID_Cliente existente",Diária,7,"Chave estrangeira para associar o endereço ao cliente.","Cliente Associado"
Endereco_Cliente,Logradouro,Cliente,Interno,Marketing,"Não nulo; sem caracteres especiais inválidos",Diária,7,"Nome da rua, avenida ou praça do endereço.","Logradouro do Endereço"
Endereco_Cliente,Numero,Cliente,Interno,Marketing,"Pode ser nulo; formato alfanumérico",Diária,7,"Número do edifício ou residência no logradouro.","Número do Endereço"
Endereco_Cliente,Complemento,Cliente,Interno,Marketing,"Pode ser nulo; sem caracteres especiais inválidos",Diária,7,"Informações adicionais para localizar o endereço (apto, bloco, etc.).","Complemento do Endereço"
Endereco_Cliente,Bairro,Cliente,Interno,Marketing,"Não nulo; nome de bairro válido para a cidade",Diária,7,"Nome do bairro onde o endereço está localizado.","Bairro do Endereço"
Endereco_Cliente,Cidade,Cliente,Interno,Marketing,"Não nulo; nome de cidade válido para o estado",Diária,7,"Nome da cidade do endereço.","Cidade do Endereço"
Endereco_Cliente,Estado,Cliente,Interno,Marketing,"Não nulo; sigla de estado válida",Diária,7,"Sigla ou nome completo do estado do endereço.","Estado do Endereço"
Endereco_Cliente,CEP,Cliente,Interno,Marketing,"Não nulo; formato de CEP válido",Diária,7,"Código de Endereçamento Postal.","CEP do Endereço"
Produto,ID_Produto,Produto,Público,Produto,"Não nulo; formato numérico",Diária,15,"Identificador único do produto no catálogo da empresa.","Identificador do Produto"
Produto,Nome_Produto,Produto,Público,Produto,"Não nulo; único; sem caracteres especiais inválidos",Diária,15,"Nome comercial do produto.","Nome do Produto"
Produto,Descricao_Produto,Produto,Público,Produto,"Pode ser nulo",Diária,15,"Descrição detalhada das características e funcionalidades do produto.","Descrição do Produto"
Produto,Preco_Unitario_Venda,Produto,Interno,Vendas,"Não nulo; valor positivo; formato monetário",Diária,15,"Preço unitário padrão de venda do produto.","Preço Unitário de Venda"
Produto,ID_Categoria_Produto,Produto,Interno,Produto,"Não nulo; deve referenciar um ID_Categoria_Produto existente",Diária,15,"Chave estrangeira para a categoria do produto.","Categoria do Produto"
Categoria_Produto,ID_Categoria_Produto,Produto,Interno,Produto,"Não nulo; formato numérico",Semanal,15,"Identificador único da categoria de produto.","Identificador da Categoria de Produto"
Categoria_Produto,Nome_Categoria,Produto,Interno,Produto,"Não nulo; único",Semanal,15,"Nome da categoria de produto (e.g., 'Veículos', 'Acessórios').","Nome da Categoria"
Pedido,ID_Pedido,Vendas,Restrito,Vendas,"Não nulo; formato numérico",Diária,10,"Identificador único do pedido de venda.","Identificador do Pedido de Venda"
Pedido,ID_Cliente,Vendas,Restrito,Vendas,"Não nulo; deve referenciar um ID_Cliente existente",Diária,10,"Chave estrangeira para o cliente que fez o pedido.","Cliente do Pedido"
Pedido,Data_Pedido,Vendas,Interno,Vendas,"Não nulo; data e hora no passado ou presente",Diária,10,"Data e hora em que o pedido foi registrado.","Data do Pedido"
Pedido,Status_Pedido,Vendas,Interno,Vendas,"Não nulo; valores permitidos: 'Pendente', 'Em Processamento', 'Enviado', 'Entregue', 'Cancelado'",Diária,10,"Estado atual do pedido no ciclo de vendas.","Status do Pedido"
Item_Pedido,ID_Item_Pedido,Vendas,Interno,Vendas,"Não nulo; formato numérico",Diária,10,"Identificador único de um item dentro de um pedido.","Identificador do Item do Pedido"
Item_Pedido,ID_Pedido,Vendas,Interno,Vendas,"Não nulo; deve referenciar um ID_Pedido existente",Diária,10,"Chave estrangeira para o pedido ao qual o item pertence.","Pedido Associado"
Item_Pedido,ID_Produto,Vendas,Interno,Vendas,"Não nulo; deve referenciar um ID_Produto existente",Diária,10,"Chave estrangeira para o produto do item do pedido.","Produto do Item do Pedido"
Item_Pedido,Quantidade,Vendas,Interno,Vendas,"Não nulo; valor inteiro positivo",Diária,10,"Quantidade do produto específica para este item do pedido.","Quantidade do Item"
Item_Pedido,Preco_Venda,Vendas,Interno,Vendas,"Não nulo; valor positivo; formato monetário",Diária,10,"Preço unitário pelo qual o produto foi vendido neste item do pedido.","Preço de Venda do Item"
Estoque,ID_Estoque,Cadeia Logística,Interno,Cadeia Logística,"Não nulo; formato numérico",Tempo Real,5,"Identificador único do registro de estoque.","Identificador do Estoque"
Estoque,ID_Produto,Cadeia Logística,Interno,Cadeia Logística,"Não nulo; deve referenciar um ID_Produto existente",Tempo Real,5,"Chave estrangeira para o produto em estoque.","Produto em Estoque"
Estoque,Quantidade_Disponivel,Cadeia Logística,Interno,Cadeia Logística,"Não nulo; valor inteiro não negativo",Tempo Real,5,"Quantidade de produtos disponível em uma localização de armazenamento.","Quantidade Disponível"
Estoque,Local_Armazenamento,Cadeia Logística,Interno,Cadeia Logística,"Não nulo",Tempo Real,5,"Local físico ou virtual onde o produto está armazenado.","Local de Armazenamento"
Armazem,ID_Armazem,Cadeia Logística,Interno,Cadeia Logística,"Não nulo; formato numérico",Mensal,10,"Identificador único do armazém ou centro de distribuição.","Identificador do Armazém"
Armazem,Nome_Armazem,Cadeia Logística,Interno,Cadeia Logística,"Não nulo; único",Mensal,10,"Nome do armazém.","Nome do Armazém"
Armazem,Endereco,Cadeia Logística,Interno,Cadeia Logística,"Não nulo",Mensal,10,"Endereço físico completo do armazém.","Endereço do Armazém"
Rota_Entrega,ID_Rota,Cadeia Logística,Interno,Cadeia Logística,"Não nulo; formato numérico",Mensal,5,"Identificador único da rota de entrega.","Identificador da Rota de Entrega"
Rota_Entrega,Nome_Rota,Cadeia Logística,Interno,Cadeia Logística,"Não nulo; único",Mensal,5,"Nome ou código que identifica a rota de entrega.","Nome da Rota de Entrega"
Rota_Entrega,Origem,Cadeia Logística,Interno,Cadeia Logística,"Não nulo",Mensal,5,"Ponto de partida da rota de entrega (local, armazém).","Origem da Rota"
Rota_Entrega,Destino,Cadeia Logística,Interno,Cadeia Logística,"Não nulo",Mensal,5,"Ponto final da rota de entrega (local, cliente).","Destino da Rota"
Envio,ID_Envio,Cadeia Logística,Interno,Cadeia Logística,"Não nulo; formato numérico",Diária,5,"Identificador único de um envio ou expedição de produtos.","Identificador do Envio"
